id,customerId,amount,paymentMethod,status,city,state,timestamp,hour,dayOfWeek,timeSincePrevTxn,amountPercentile,customerAvgAmount,velocity24h,isUnusualHour,isHighAmount,isHighVelocity,isGeoAnomaly,isRapidFire,isSuspicious,anomalyScore,scoreSignals
TXN-mm23fa5v-3399,CUS-0419,1551.02,oxxo,approved,Monterrey,Nuevo León,2026-01-02T07:01:45.224Z,7,5,,80,1551.02,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-3274,CUS-0607,5000,credit_card,approved,Mérida,Yucatán,2026-01-02T07:16:02.459Z,7,5,,99,5000.00,1,false,false,false,false,false,false,20,"Amount 5,000 MXN is 1.0x customer average (z-score: 3.7); High-risk payment method: Credit Card"
TXN-mm23fa5v-ead4,CUS-0281,1159.26,credit_card,approved,Puebla,Puebla,2026-01-02T07:43:57.879Z,7,5,,66,1159.26,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-4b6a,CUS-1288,381.66,spei,approved,Mérida,Yucatán,2026-01-02T07:54:24.242Z,7,5,,10,381.66,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-fc54,CUS-0774,1229.85,credit_card,approved,Ciudad de México,CDMX,2026-01-02T08:21:33.312Z,8,5,,69,1229.85,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-8121,CUS-0256,2082.71,credit_card,approved,Cancún,Quintana Roo,2026-01-02T08:31:20.427Z,8,5,,89,2082.71,1,false,false,false,false,false,false,10,Transaction from fraud hotspot: Cancún; High-risk payment method: Credit Card
TXN-mm23fa5v-b7c1,CUS-0276,1748.62,debit_card,approved,Monterrey,Nuevo León,2026-01-02T09:05:44.587Z,9,5,,84,1748.62,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-9f7d,CUS-1378,3176.82,credit_card,declined,Tijuana,Baja California,2026-01-02T09:11:11.559Z,9,5,,96,3176.82,1,false,false,false,false,false,false,20,"Amount 3,177 MXN is 1.0x customer average (z-score: 2.0); Transaction from fraud hotspot: Tijuana; High-risk payment method: Credit Card"
TXN-mm23fa5v-326f,CUS-0312,426.97,credit_card,approved,Ciudad de México,CDMX,2026-01-02T09:12:10.602Z,9,5,,14,426.97,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa66-2571,CUS-0022,790.64,oxxo,approved,Mérida,Yucatán,2026-01-02T09:14:29.522Z,9,5,88140.886,44,483.14,0,false,false,false,false,false,false,0,
TXN-mm23fa66-1edf,CUS-0021,1031.84,spei,approved,Ciudad de México,CDMX,2026-01-02T09:17:34.921Z,9,5,72486.02,59,269.34,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-1d1d,CUS-1373,684.37,spei,approved,Guadalajara,Jalisco,2026-01-02T09:26:23.663Z,9,5,,36,684.37,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-f0e6,CUS-0897,1772.81,credit_card,declined,Monterrey,Nuevo León,2026-01-02T09:45:53.495Z,9,5,,85,1772.81,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-ad71,CUS-0434,358.06,credit_card,approved,Ciudad de México,CDMX,2026-01-02T09:52:59.826Z,9,5,,8,358.06,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-9673,CUS-0819,1208.43,credit_card,approved,Cancún,Quintana Roo,2026-01-02T09:54:10.915Z,9,5,,68,1208.43,1,false,false,false,false,false,false,10,Transaction from fraud hotspot: Cancún; High-risk payment method: Credit Card
TXN-mm23fa5v-68b3,CUS-0653,531.63,credit_card,approved,Guadalajara,Jalisco,2026-01-02T10:11:26.907Z,10,5,,23,531.63,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa66-9490,CUS-0025,1517.71,credit_card,approved,Puebla,Puebla,2026-01-02T10:16:21.479Z,10,5,47136.421,79,280.69,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-d6b4,CUS-0357,1209.07,credit_card,approved,Tijuana,Baja California,2026-01-02T10:32:47.378Z,10,5,,69,1209.07,1,false,false,false,false,false,false,10,Transaction from fraud hotspot: Tijuana; High-risk payment method: Credit Card
TXN-mm23fa5v-65d7,CUS-1423,673.39,debit_card,approved,Monterrey,Nuevo León,2026-01-02T10:45:28.669Z,10,5,14251.505,35,1736.67,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-8ffe,CUS-0968,1084.24,credit_card,approved,Ciudad de México,CDMX,2026-01-02T10:50:07.404Z,10,5,,62,1084.24,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-7370,CUS-0174,358.12,wallet,approved,Puebla,Puebla,2026-01-02T10:59:51.514Z,10,5,,8,358.12,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-fa13,CUS-0668,1539.95,oxxo,approved,Guadalajara,Jalisco,2026-01-02T11:04:39.996Z,11,5,,79,1539.95,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-787d,CUS-0832,402.09,credit_card,approved,Puebla,Puebla,2026-01-02T11:28:29.538Z,11,5,,11,402.09,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa66-64db,CUS-0023,999.1,credit_card,approved,Ciudad de México,CDMX,2026-01-02T11:32:24.105Z,11,5,61673.785,57,876.10,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-2817,CUS-1041,920.64,credit_card,approved,Guadalajara,Jalisco,2026-01-02T11:38:05.175Z,11,5,,53,920.64,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-ffca,CUS-0201,543.4,debit_card,approved,Ciudad de México,CDMX,2026-01-02T11:44:29.874Z,11,5,,24,543.40,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-daac,CUS-0539,1307.11,credit_card,approved,Ciudad de México,CDMX,2026-01-02T11:45:16.570Z,11,5,,72,1307.11,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-5113,CUS-0911,1436.83,credit_card,approved,Mérida,Yucatán,2026-01-02T11:47:28.559Z,11,5,,77,1436.83,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-734f,CUS-1213,551.46,oxxo,approved,Ciudad de México,CDMX,2026-01-02T11:50:39.747Z,11,5,,25,551.46,1,false,false,false,false,false,false,0,
TXN-mm23fa66-d837,CUS-0021,297.75,credit_card,declined,León,Guanajuato,2026-01-02T11:54:48.737Z,11,5,9433.816,5,650.59,2,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-c8ee,CUS-0990,995.43,credit_card,approved,Querétaro,Querétaro,2026-01-02T12:19:15.670Z,12,5,,57,995.43,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-0280,CUS-0121,110.95,spei,approved,Monterrey,Nuevo León,2026-01-02T12:27:28.532Z,12,5,,0,110.95,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-e9f9,CUS-1080,727.48,credit_card,approved,Monterrey,Nuevo León,2026-01-02T12:27:47.988Z,12,5,,39,727.48,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-654d,CUS-0365,486.84,spei,approved,León,Guanajuato,2026-01-02T12:30:13.689Z,12,5,,19,486.84,1,false,false,false,false,false,false,0,
TXN-mm23fa66-62bc,CUS-0025,318.53,debit_card,approved,Puebla,Puebla,2026-01-02T12:30:54.244Z,12,5,8072.765,6,899.20,2,false,false,false,false,false,false,0,
TXN-mm23fa5v-1080,CUS-0222,742.32,credit_card,approved,Puebla,Puebla,2026-01-02T12:33:57.508Z,12,5,,40,742.32,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-af7b,CUS-0993,628.83,spei,approved,Cancún,Quintana Roo,2026-01-02T12:34:46.647Z,12,5,,32,628.83,1,false,false,false,false,false,false,5,Transaction from fraud hotspot: Cancún
TXN-mm23fa5v-3ea1,CUS-0026,3572.71,credit_card,approved,León,Guanajuato,2026-01-02T13:17:49.536Z,13,5,,97,3572.71,1,false,false,false,false,false,false,17,"Amount 3,573 MXN is 1.0x customer average (z-score: 2.4); High-risk payment method: Credit Card"
TXN-mm23fa5v-8d9f,CUS-0507,1440.94,credit_card,declined,Monterrey,Nuevo León,2026-01-02T13:21:18.625Z,13,5,,77,1440.94,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-b1b5,CUS-0975,1207.71,spei,approved,Ciudad de México,CDMX,2026-01-02T13:31:59.827Z,13,5,,68,1207.71,1,false,false,false,false,false,false,0,
TXN-mm23fa66-0c08,CUS-0025,663.65,credit_card,approved,Ciudad de México,CDMX,2026-01-02T13:41:15.941Z,13,5,4221.697,34,705.64,3,false,false,false,true,false,true,15,City changed within 2-hour window (geo anomaly); High-risk payment method: Credit Card
TXN-mm23fa5v-2e91,CUS-1249,809.33,debit_card,declined,Guadalajara,Jalisco,2026-01-02T13:42:09.644Z,13,5,,45,809.33,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-21ec,CUS-0053,365.79,debit_card,approved,Ciudad de México,CDMX,2026-01-02T13:47:13.767Z,13,5,,9,365.79,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-55f1,CUS-0167,1025.78,spei,approved,Tijuana,Baja California,2026-01-02T14:11:26.003Z,14,5,,59,1025.78,1,false,false,false,false,false,false,5,Transaction from fraud hotspot: Tijuana
TXN-mm23fa5v-148f,CUS-1251,785.95,oxxo,approved,Ciudad de México,CDMX,2026-01-02T14:12:22.973Z,14,5,,44,785.95,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-689e,CUS-0186,908.75,credit_card,approved,Cancún,Quintana Roo,2026-01-02T14:21:19.840Z,14,5,,52,908.75,1,false,false,false,false,false,false,10,Transaction from fraud hotspot: Cancún; High-risk payment method: Credit Card
TXN-mm23fa5v-97ad,CUS-0410,1217.52,credit_card,approved,Ciudad de México,CDMX,2026-01-02T14:35:43.547Z,14,5,,69,1217.52,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa66-9618,CUS-0025,716.5,debit_card,approved,Ciudad de México,CDMX,2026-01-02T14:36:11.979Z,14,5,3296.038,38,695.15,4,false,false,false,false,false,false,0,
TXN-mm23fa5v-b47f,CUS-0437,1898.14,credit_card,approved,Ciudad de México,CDMX,2026-01-02T14:41:05.875Z,14,5,,87,1898.14,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-13fe,CUS-0583,738.56,debit_card,approved,Guadalajara,Jalisco,2026-01-02T14:48:23.853Z,14,5,,40,738.56,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-56ad,CUS-0704,1147.56,credit_card,approved,Cancún,Quintana Roo,2026-01-02T15:14:11.194Z,15,5,,65,1147.56,1,false,false,false,false,false,false,10,Transaction from fraud hotspot: Cancún; High-risk payment method: Credit Card
TXN-mm23fa5v-2355,CUS-0669,692.97,credit_card,approved,Ciudad de México,CDMX,2026-01-02T15:16:47.127Z,15,5,,37,692.97,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-4311,CUS-0625,966.61,debit_card,approved,Ciudad de México,CDMX,2026-01-02T15:34:21.425Z,15,5,,55,966.61,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-e185,CUS-1172,1081.03,debit_card,approved,Querétaro,Querétaro,2026-01-02T15:38:38.062Z,15,5,,62,1081.03,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-3a28,CUS-0138,771.03,oxxo,declined,Monterrey,Nuevo León,2026-01-02T15:49:04.871Z,15,5,,42,771.03,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-75c5,CUS-1158,415.34,spei,approved,Ciudad de México,CDMX,2026-01-02T15:58:50.270Z,15,5,,13,415.34,1,false,false,false,false,false,false,0,
TXN-mm23fa66-428e,CUS-0023,874.8,wallet,approved,Ciudad de México,CDMX,2026-01-02T16:06:50.878Z,16,5,16466.773,50,937.60,2,false,false,false,false,false,false,0,
TXN-mm23fa5v-4cb5,CUS-1462,955.76,spei,approved,León,Guanajuato,2026-01-02T16:14:22.176Z,16,5,,55,955.76,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-aca9,CUS-0505,1149.6,spei,approved,Ciudad de México,CDMX,2026-01-02T16:16:40.676Z,16,5,,65,1149.60,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-f98c,CUS-0339,1190.19,credit_card,approved,Ciudad de México,CDMX,2026-01-02T16:27:37.509Z,16,5,,67,1190.19,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-0b39,CUS-1236,1014.67,spei,approved,Monterrey,Nuevo León,2026-01-02T16:43:53.443Z,16,5,,58,1014.67,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-1516,CUS-1494,1024.75,credit_card,approved,Tijuana,Baja California,2026-01-02T16:47:35.793Z,16,5,,59,1024.75,1,false,false,false,false,false,false,10,Transaction from fraud hotspot: Tijuana; High-risk payment method: Credit Card
TXN-mm23fa5v-4e0b,CUS-1373,724.83,debit_card,approved,Guadalajara,Jalisco,2026-01-02T16:52:54.208Z,16,5,26790.545,39,684.37,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-cfa3,CUS-0870,949.15,spei,approved,Puebla,Puebla,2026-01-02T17:14:35.521Z,17,5,,54,949.15,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-886c,CUS-0358,556.83,spei,approved,Monterrey,Nuevo León,2026-01-02T17:16:21.722Z,17,5,,26,556.83,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-b477,CUS-0364,114.79,spei,approved,León,Guanajuato,2026-01-02T17:32:03.684Z,17,5,,0,114.79,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-ddd8,CUS-1337,1756.83,credit_card,approved,León,Guanajuato,2026-01-02T17:35:27.730Z,17,5,,85,1756.83,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-936b,CUS-0779,543.35,oxxo,approved,Ciudad de México,CDMX,2026-01-02T17:40:21.347Z,17,5,,24,543.35,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-202b,CUS-0359,1959.4,spei,approved,Mérida,Yucatán,2026-01-02T17:47:33.098Z,17,5,,88,1959.40,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-e3f2,CUS-0326,783.48,spei,declined,Guadalajara,Jalisco,2026-01-02T17:49:14.381Z,17,5,,43,783.48,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-283c,CUS-1258,2475.73,spei,declined,Oaxaca,Oaxaca,2026-01-02T17:50:51.596Z,17,5,,93,2475.73,1,false,false,false,false,false,false,6,"Amount 2,476 MXN is 1.0x customer average (z-score: 1.3)"
TXN-mm23fa66-2c61,CUS-0024,782.83,oxxo,approved,Guadalajara,Jalisco,2026-01-02T17:52:51.705Z,17,5,78354.141,43,1004.51,1,false,false,false,false,false,false,0,
TXN-mm23fa66-0011,CUS-0021,836.68,spei,approved,Guadalajara,Jalisco,2026-01-02T17:56:50.680Z,17,5,21721.943,47,532.98,2,false,false,false,false,false,false,0,
TXN-mm23fa5v-6cc5,CUS-0142,1374.23,oxxo,approved,Guadalajara,Jalisco,2026-01-02T18:08:55.824Z,18,5,,75,1374.23,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-c82b,CUS-1132,1097.22,credit_card,approved,Ciudad de México,CDMX,2026-01-02T18:19:53.648Z,18,5,,63,1097.22,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-523e,CUS-1253,504.66,credit_card,approved,Monterrey,Nuevo León,2026-01-02T18:32:55.133Z,18,5,,21,504.66,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-b1a6,CUS-0329,243.79,credit_card,approved,Querétaro,Querétaro,2026-01-02T18:36:56.561Z,18,5,,3,243.79,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-338d,CUS-1115,1740.76,credit_card,approved,Querétaro,Querétaro,2026-01-02T18:41:32.452Z,18,5,,84,1740.76,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-10bf,CUS-1093,542.04,spei,approved,Puebla,Puebla,2026-01-02T18:59:19.777Z,18,5,,24,542.04,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-a612,CUS-1157,884.7,credit_card,declined,Puebla,Puebla,2026-01-02T19:03:35.031Z,19,5,,50,884.70,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-649e,CUS-1188,238.13,spei,approved,Ciudad de México,CDMX,2026-01-02T19:16:36.903Z,19,5,,2,238.13,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-3198,CUS-0894,1777.21,credit_card,declined,Monterrey,Nuevo León,2026-01-02T19:23:50.412Z,19,5,,85,1777.21,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa66-1067,CUS-0022,923.54,wallet,approved,Ciudad de México,CDMX,2026-01-02T19:24:50.370Z,19,5,36620.848,53,636.89,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-84fa,CUS-0880,925.72,credit_card,approved,Mérida,Yucatán,2026-01-02T19:40:41.305Z,19,5,,53,925.72,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-7249,CUS-0613,1697.72,spei,approved,Cancún,Quintana Roo,2026-01-02T19:43:22.324Z,19,5,,84,1697.72,1,false,false,false,false,false,false,5,Transaction from fraud hotspot: Cancún
TXN-mm23fa5v-1d56,CUS-0372,450.51,credit_card,approved,Tijuana,Baja California,2026-01-02T19:52:07.069Z,19,5,,16,450.51,1,false,false,false,false,false,false,10,Transaction from fraud hotspot: Tijuana; High-risk payment method: Credit Card
TXN-mm23fa5v-3176,CUS-0101,1095.62,oxxo,approved,Querétaro,Querétaro,2026-01-02T19:52:13.808Z,19,5,,63,1095.62,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-d2b3,CUS-0364,1073.2,credit_card,approved,Monterrey,Nuevo León,2026-01-02T19:57:58.806Z,19,5,8755.122,61,114.79,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa66-531e,CUS-0022,474.86,credit_card,declined,Puebla,Puebla,2026-01-02T20:12:07.566Z,20,5,2837.196,18,732.44,2,false,false,false,true,false,true,15,City changed within 2-hour window (geo anomaly); High-risk payment method: Credit Card
TXN-mm23fa5v-baf6,CUS-0342,910.88,credit_card,declined,Ciudad de México,CDMX,2026-01-02T20:28:49.525Z,20,5,,52,910.88,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-6357,CUS-0072,1299.63,credit_card,declined,Monterrey,Nuevo León,2026-01-02T20:30:53.318Z,20,5,,72,1299.63,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-ffca,CUS-0729,1165.22,oxxo,declined,Monterrey,Nuevo León,2026-01-02T20:31:10.498Z,20,5,,66,1165.22,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-882d,CUS-0048,2107.83,credit_card,declined,Mérida,Yucatán,2026-01-02T20:33:20.583Z,20,5,,90,2107.83,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa66-f15a,CUS-0024,2080.35,credit_card,approved,León,Guanajuato,2026-01-02T20:49:13.193Z,20,5,10581.488,89,930.62,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-713a,CUS-0152,1463.94,credit_card,approved,Mérida,Yucatán,2026-01-02T21:11:21.882Z,21,5,,77,1463.94,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-0603,CUS-0653,1304.64,credit_card,declined,Guadalajara,Jalisco,2026-01-02T21:14:16.081Z,21,5,39769.174,72,531.63,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-704d,CUS-1193,370.88,spei,approved,Monterrey,Nuevo León,2026-01-02T21:24:34.825Z,21,5,,9,370.88,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-f46a,CUS-1393,2457.51,debit_card,approved,León,Guanajuato,2026-01-02T21:28:51.876Z,21,5,,93,2457.51,1,false,false,false,false,false,false,6,"Amount 2,458 MXN is 1.0x customer average (z-score: 1.3)"
TXN-mm23fa5v-6f12,CUS-0034,445.78,debit_card,approved,Monterrey,Nuevo León,2026-01-02T21:34:17.411Z,21,5,,15,445.78,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-5adb,CUS-0216,1384.3,credit_card,approved,Querétaro,Querétaro,2026-01-02T21:35:59.825Z,21,5,,75,1384.30,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-ed92,CUS-1158,667.25,credit_card,approved,Ciudad de México,CDMX,2026-01-02T21:41:15.641Z,21,5,20545.371,35,415.34,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-126b,CUS-0042,979.81,credit_card,declined,Querétaro,Querétaro,2026-01-02T21:43:00.675Z,21,5,,56,979.81,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-3f05,CUS-0085,917.54,credit_card,approved,Monterrey,Nuevo León,2026-01-02T21:51:41.820Z,21,5,,53,917.54,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-cfc3,CUS-1068,758.7,credit_card,approved,Monterrey,Nuevo León,2026-01-02T21:56:25.541Z,21,5,,42,758.70,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-015b,CUS-0425,491.35,spei,approved,Mérida,Yucatán,2026-01-02T22:04:33.705Z,22,5,,20,491.35,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-a469,CUS-0684,669.56,credit_card,pending,Monterrey,Nuevo León,2026-01-02T22:15:02.618Z,22,5,,35,669.56,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-c6d9,CUS-1291,2458.76,wallet,approved,Guadalajara,Jalisco,2026-01-02T22:19:03.683Z,22,5,,93,2458.76,1,false,false,false,false,false,false,6,"Amount 2,459 MXN is 1.0x customer average (z-score: 1.3)"
TXN-mm23fa5v-1a78,CUS-0982,1602.93,oxxo,approved,Monterrey,Nuevo León,2026-01-02T22:30:09.104Z,22,5,,81,1602.93,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-32c6,CUS-0982,773.98,oxxo,approved,Monterrey,Nuevo León,2026-01-02T22:45:05.414Z,22,5,896.31,43,1602.93,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-a2e0,CUS-0913,840.79,oxxo,approved,Querétaro,Querétaro,2026-01-02T22:54:51.612Z,22,5,,47,840.79,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-af9d,CUS-0761,453.87,spei,approved,Ciudad de México,CDMX,2026-01-02T23:00:57.560Z,23,5,,16,453.87,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-071e,CUS-1332,1355.67,oxxo,declined,Ciudad de México,CDMX,2026-01-02T23:04:18.682Z,23,5,,74,1355.67,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-1a81,CUS-0146,608.22,credit_card,approved,Tijuana,Baja California,2026-01-02T23:08:13.094Z,23,5,,30,608.22,1,false,false,false,false,false,false,10,Transaction from fraud hotspot: Tijuana; High-risk payment method: Credit Card
